STATION,DATE,NAME,PRCP,SNOW
USW00094789,2013-05-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-05,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-06,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-07,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-08,"JFK INTERNATIONAL AIRPORT, NY US",391.0,0.0
USW00094789,2013-05-09,"JFK INTERNATIONAL AIRPORT, NY US",191.0,0.0
USW00094789,2013-05-10,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-11,"JFK INTERNATIONAL AIRPORT, NY US",99.0,0.0
USW00094789,2013-05-12,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-05-13,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-14,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-15,"JFK INTERNATIONAL AIRPORT, NY US",8.0,0.0
USW00094789,2013-05-16,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-17,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-18,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-05-19,"JFK INTERNATIONAL AIRPORT, NY US",114.0,0.0
USW00094789,2013-05-20,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-21,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-22,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-23,"JFK INTERNATIONAL AIRPORT, NY US",8.0,0.0
USW00094789,2013-05-24,"JFK INTERNATIONAL AIRPORT, NY US",51.0,0.0
USW00094789,2013-05-25,"JFK INTERNATIONAL AIRPORT, NY US",18.0,0.0
USW00094789,2013-05-26,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-27,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-28,"JFK INTERNATIONAL AIRPORT, NY US",137.0,0.0
USW00094789,2013-05-29,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-30,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-31,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-01,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-02,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-06-03,"JFK INTERNATIONAL AIRPORT, NY US",94.0,0.0
USW00094789,2013-06-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-05,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-06,"JFK INTERNATIONAL AIRPORT, NY US",8.0,0.0
USW00094789,2013-06-07,"JFK INTERNATIONAL AIRPORT, NY US",1019.0,0.0
USW00094789,2013-06-08,"JFK INTERNATIONAL AIRPORT, NY US",97.0,0.0
USW00094789,2013-06-09,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-10,"JFK INTERNATIONAL AIRPORT, NY US",351.0,0.0
USW00094789,2013-06-11,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-06-12,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-13,"JFK INTERNATIONAL AIRPORT, NY US",251.0,0.0
USW00094789,2013-06-14,"JFK INTERNATIONAL AIRPORT, NY US",38.0,0.0
USW00094789,2013-06-15,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-16,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-17,"JFK INTERNATIONAL AIRPORT, NY US",33.0,0.0
USW00094789,2013-06-18,"JFK INTERNATIONAL AIRPORT, NY US",51.0,0.0
USW00094789,2013-06-19,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-20,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-21,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-22,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-23,"JFK INTERNATIONAL AIRPORT, NY US",8.0,0.0
USW00094789,2013-06-24,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-25,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-26,"JFK INTERNATIONAL AIRPORT, NY US",25.0,0.0
USW00094789,2013-06-27,"JFK INTERNATIONAL AIRPORT, NY US",33.0,0.0
USW00094789,2013-06-28,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-06-29,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
